org_code,district,district_type,grade_level,county,enrolled,econ_disadvantaged,percent_white,percent_black,percent_hispanic,meets_expectations_ELA,meets_expectations_math,percent_grads_attending_college,avg_SAT_score,percent_graduating_4_yrs,FTE_teachers_per_100_students,avg_teacher_salary,teacher_retention,dollars_per_student,ch_70_aid_per_student
10000,Abington,Municipal,K12,Plymouth,2056,0.218,0.853,0.036,0.075,0.55,0.48,0.699,1053,0.918,5.943774319,85916.96996,0.944,13461,3862.120059
50000,Agawam,Municipal,K12,Hampden,3747,0.29,0.838,0.022,0.08,0.5,0.53,0.778,1099,0.931,8.50013344,74115.87805,0.946,15911,5133.077657
1630000,Lynn,Municipal,K12,Essex,15751,0.567,0.154,0.092,0.63,0.34,0.3,0.546,990,0.743,7.141159291,76870.40059,0.887,13476,9751.188449
1600000,Lowell,Municipal,K12,Middlesex,14548,0.538,0.264,0.079,0.331,0.36,0.36,0.707,1034,0.796,7.237317844,76090.72612,0.912,14300,9326.216201
1490000,Lawrence,Municipal,K12,Essex,13658,0.633,0.037,0.013,0.934,0.28,0.29,0.555,960,0.719,7.565199883,69533.33116,0.742,14551,12271.48724
2070000,Newton,Municipal,K12,Middlesex,12883,0.087,0.621,0.047,0.076,0.7,0.71,0.808,1263,0.962,8.329503998,82045.37859,0.89,18458,1855.700572
160000,Attleboro,Municipal,K12,Bristol,5946,0.303,0.677,0.063,0.148,0.53,0.47,0.619,1091,0.905,6.38958964,83792.48314,0.938,13296,5985.419902
170000,Auburn,Municipal,K12,Worcester,2628,0.184,0.819,0.018,0.089,0.58,0.51,0.778,1099,0.93,7.03500761,74149.92513,0.957,13268,4435.65491
180000,Avon,Municipal,K12,Norfolk,728,0.295,0.497,0.305,0.089,0.57,0.41,0.917,996,0.878,9.258241758,73678.28947,0.941,15925,3221.754011
200000,Barnstable,Municipal,K12,Barnstable,4791,0.319,0.694,0.078,0.15,0.47,0.44,0.712,1108,0.879,7.256898351,80671.85178,0.845,16111,1928.638869
1000000,Framingham,Municipal,K12,Middlesex,8822,0.33,0.557,0.076,0.274,0.38,0.37,0.689,1121,0.819,7.895080481,90573.28707,0.866,17817,5150.974405
240000,Belchertown,Municipal,K12,Hampshire,2267,0.18,0.884,0.02,0.045,0.46,0.38,0.825,1124,0.936,7.193206881,66879.07096,0.901,13014,5893.705631
250000,Bellingham,Municipal,K12,Norfolk,2223,0.19,0.882,0.019,0.045,0.44,0.41,0.57,1054,0.892,7.51205578,74764.37319,0.88,15018,3679.761803
1280000,Haverhill,Municipal,K12,Essex,8047,0.455,0.545,0.044,0.369,0.36,0.33,0.695,1074,0.805,7.071181807,70927.94989,0.882,13286,6571.048461
1550000,Lexington,Municipal,K12,Middlesex,7259,0.054,0.459,0.04,0.04,0.8,0.81,0.87,1324,0.956,8.477724204,84839.62186,0.905,17760,1946.868958
930000,Everett,Municipal,K12,Middlesex,7107,0.481,0.22,0.164,0.544,0.38,0.34,0.612,985,0.786,6.739046011,82920.01514,0.815,13976,8919.661042
350000,Boston,Municipal,K12,Suffolk,51433,0.565,0.146,0.309,0.421,0.34,0.32,0.661,1016,0.751,8.229794101,101246.8722,0.841,22749,3410.45661
360000,Bourne,Municipal,K12,Barnstable,1935,0.264,0.868,0.015,0.059,0.48,0.39,0.733,1046,0.921,7.511627907,80186.45327,0.882,15645,2529.530422
490000,Cambridge,Municipal,K12,Middlesex,7052,0.286,0.405,0.238,0.137,0.6,0.52,0.723,1120,0.878,9.593803176,88190.71679,0.873,27551,2111.511955
400000,Braintree,Municipal,K12,Norfolk,5842,0.179,0.688,0.048,0.048,0.65,0.59,0.841,1133,0.933,7.1849709,79863.39498,0.926,14819,3137.919162
440000,Brockton,Municipal,K12,Plymouth,16349,0.54,0.177,0.594,0.158,0.26,0.2,0.624,992,0.741,5.920521133,96174.40864,0.898,14297,10000.92002
460000,Brookline,Municipal,K12,Norfolk,7855,0.093,0.539,0.058,0.107,0.75,0.73,0.764,1265,0.928,8.221654997,93594.50231,0.845,19165,1927.802323
1810000,Methuen,Municipal,K12,Essex,6927,0.345,0.479,0.02,0.413,0.45,0.4,0.7,1022,0.887,6.962942111,77777.98072,0.875,12848,6235.838378
1650000,Malden,Municipal,K12,Middlesex,6564,0.435,0.284,0.193,0.247,0.48,0.42,0.69,1052,0.8,7.139000609,84170.79716,0.897,14023,6559.043241
500000,Canton,Municipal,K12,Norfolk,3272,0.131,0.678,0.105,0.051,0.68,0.63,0.858,1150,0.977,7.376253056,83857.13378,0.89,15633,1846.057547
2290000,Peabody,Municipal,K12,Essex,5973,0.303,0.782,0.035,0.146,0.46,0.42,0.71,1067,0.825,7.498325799,78477.47368,0.932,13964,3302.222373
520000,Carver,Municipal,K12,Plymouth,1555,0.219,0.951,0.013,0.015,0.44,0.37,0.848,1134,0.936,8.042829582,72740.35963,0.95,14582,6214.060512
90000,Andover,Municipal,K12,Essex,5957,0.075,0.7,0.022,0.062,0.68,0.64,0.882,1207,0.944,7.905002518,85091.73566,0.904,16876,1825.264772
570000,Chelsea,Municipal,K12,Suffolk,6088,0.625,0.065,0.05,0.866,0.29,0.28,0.591,941,0.59,7.028580815,69505.64182,0.771,13260,10778.47793
610000,Chicopee,Municipal,K12,Hampden,7392,0.522,0.523,0.042,0.382,0.41,0.4,0.599,1072,0.808,7.776663961,72185.20625,0.867,14975,8288.083095
640000,Clinton,Municipal,K12,Worcester,1858,0.361,0.68,0.034,0.25,0.4,0.25,0.66,1033,0.881,8.019806243,66428.08586,0.89,13313,6155.679067
650000,Cohasset,Municipal,K12,Norfolk,1557,0.052,0.918,0.03,0.013,0.73,0.61,0.904,1199,0.979,7.797045601,89738.55454,0.923,16000,1717.302657
100000,Arlington,Municipal,K12,Middlesex,5939,0.075,0.71,0.035,0.062,0.7,0.66,0.822,1204,0.93,7.071779761,75090.47195,0.882,13390,2033.867416
3080000,Waltham,Municipal,K12,Middlesex,5633,0.337,0.419,0.097,0.407,0.48,0.44,0.718,1051,0.823,9.150399432,79208.50019,0.879,20838,2355.593577
720000,Dartmouth,Municipal,K12,Bristol,3618,0.221,0.877,0.014,0.041,0.57,0.51,0.851,1105,0.932,7.381039248,77108.67693,0.892,13008,2703.717308
730000,Dedham,Municipal,K12,Norfolk,2687,0.23,0.696,0.073,0.16,0.5,0.54,0.766,1123,0.889,8.570785262,79564.18863,0.866,19290,1979.309668
770000,Douglas,Municipal,K12,Worcester,1296,0.154,0.914,0.005,0.038,0.61,0.46,0.697,1084,0.926,7.195216049,69467.50774,0.898,13255,6793.438474
820000,Duxbury,Municipal,K12,Plymouth,3015,0.052,0.927,0.003,0.023,0.72,0.66,0.853,1158,0.962,7.287230514,82701.84878,0.88,14937,1749.209124
830000,East Bridgewater,Municipal,K12,Plymouth,2252,0.181,0.912,0.028,0.021,0.56,0.49,0.742,1056,0.946,6.869449378,72485.47219,0.865,12000,4846.67291
860000,Easthampton,Municipal,K12,Hampshire,1545,0.289,0.788,0.011,0.131,0.37,0.36,0.63,1050,0.868,7.481553398,60288.49245,0.923,13581,4649.01049
870000,East Longmeadow,Municipal,K12,Hampden,2624,0.193,0.795,0.035,0.086,0.63,0.53,0.879,1123,0.977,7.146760671,74655.36148,0.913,14341,4157.269671
