District,District_Code,African_American,Asian,Hispanic,White,Native_American,Native_Hawaiian_Pacific_Islander,MultiRace_NonHispanic,Males,Females
Abby Kelley Foster Charter Public (District),04450000,51.3,3.4,22.7,19.7,0.2,0.1,2.5,47.5,52.5
Abington,00010000,3.6,2.2,7.5,85.3,0.4,0.1,0.9,50.7,49.3
Academy Of the Pacific Rim Charter Public (District),04120000,60.5,1.1,27.0,8.9,0.0,0.2,2.3,50.8,49.2
Acton-Boxborough,06000000,2.4,33.0,5.2,54.6,0.2,0.1,4.6,51.9,48.1
Acushnet,00030000,0.8,0.4,3.3,92.8,0.1,0.0,2.6,51.3,48.7
Adams-Cheshire,06030000,3.8,0.9,2.9,89.8,0.2,0.1,2.3,51.5,48.5
Advanced Math and Science Academy Charter (District),04300000,1.8,17.4,5.7,67.7,0.3,0.0,7.1,52.0,48.0
Agawam,00050000,2.2,3.2,8.0,83.8,0.0,0.0,2.7,51.4,48.6
Alma del Mar Charter School (District),04090000,15.9,0.0,59.0,24.3,0.7,0.0,0.2,44.4,55.6
Amesbury,00070000,1.8,1.2,7.8,85.0,0.1,0.1,3.9,52.7,47.3
Amherst,00080000,8.7,14.4,21.4,47.0,0.3,0.0,8.2,52.6,47.3
Amherst-Pelham,06050000,7.5,9.1,16.7,57.9,0.1,0.1,8.6,50.7,49.2
Andover,00090000,2.2,18.4,6.2,70.0,0.2,0.0,3.0,49.8,50.1
Argosy Collegiate Charter School (District),35090000,10.7,1.7,18.7,63.1,0.2,0.0,5.6,53.2,46.8
Arlington,00100000,3.5,12.9,6.2,71.0,0.1,0.1,6.2,50.9,49.1
Ashburnham-Westminster,06100000,0.6,0.9,4.8,91.0,0.0,0.0,2.6,50.4,49.6
Ashland,00140000,2.5,14.8,11.7,67.1,0.6,0.0,3.2,49.4,50.6
Assabet Valley Regional Vocational Technical,08010000,1.0,0.5,16.5,79.1,0.3,0.0,2.6,59.9,40.0
Athol-Royalston,06150000,1.4,1.4,9.2,84.6,0.0,0.0,3.4,52.8,47.2
Atlantis Charter (District),04910000,5.6,1.8,10.7,77.9,0.2,0.1,3.8,47.8,52.2
Attleboro,00160000,6.3,4.7,14.8,67.7,0.2,0.1,6.2,52.6,47.3
Auburn,00170000,1.8,3.8,8.9,81.9,0.1,0.0,3.5,50.5,49.5
Avon,00180000,30.5,4.8,8.9,49.7,0.3,0.0,5.8,52.6,47.4
Ayer Shirley School District,06160000,4.0,2.9,10.5,75.9,0.8,0.4,5.5,51.8,48.2
Barnstable,00200000,7.8,1.9,15.0,69.4,0.4,0.3,5.3,51.2,48.8
Barnstable Community Horace Mann Charter Public (District),04270000,17.9,3.4,28.6,45.5,0.3,0.0,4.1,50.0,50.0
Baystate Academy Charter Public School (District),35020000,24.6,0.6,68.4,5.0,0.0,0.2,1.2,49.8,50.2
Bedford,00230000,6.2,17.1,5.8,65.3,0.0,0.1,5.5,51.1,48.9
Belchertown,00240000,2.0,1.6,4.5,88.4,0.2,0.2,3.2,50.6,49.4
Bellingham,00250000,1.9,2.7,4.5,88.2,0.1,0.4,2.1,50.3,49.6
Belmont,00260000,3.4,20.1,4.2,65.1,0.1,0.1,7.1,51.0,49.0
Benjamin Banneker Charter Public (District),04200000,83.3,0.8,11.0,2.0,0.3,0.6,2.0,49.2,50.8
Benjamin Franklin Classical Charter Public (District),04470000,2.4,22.7,3.5,67.1,0.0,0.0,4.4,47.1,52.9
Bentley Academy Charter School (District),35110000,11.8,2.4,57.5,25.4,0.0,0.0,2.9,46.6,53.4
Berkley,00270000,0.3,0.1,1.7,93.8,0.1,0.1,3.8,48.9,51.1
Berkshire Arts and Technology Charter Public (District),04140000,11.9,2.9,9.3,69.8,0.3,0.0,5.8,52.6,47.4
Berkshire Hills,06180000,1.7,2.7,8.7,81.3,0.2,0.2,5.2,51.3,48.7
Berlin,00280000,0.5,2.2,4.4,88.5,0.0,0.0,4.4,55.7,44.3
Berlin-Boylston,06200000,2.4,3.6,3.4,87.8,0.0,0.2,2.6,53.5,46.5
Beverly,00300000,3.4,2.4,13.4,77.2,0.0,0.0,3.5,52.0,48.0
Billerica,00310000,4.5,7.9,6.6,77.7,0.1,0.1,3.1,51.2,48.8
Blackstone Valley Regional Vocational Technical,08050000,0.9,2.0,4.4,91.4,0.0,0.0,1.4,49.6,50.4
Blackstone-Millville,06220000,1.1,0.9,6.9,87.1,0.0,0.0,4.1,52.1,47.9
Blue Hills Regional Vocational Technical,08060000,22.7,1.4,12.7,58.1,0.6,0.1,4.4,56.1,43.9
Boston,00350000,30.9,8.9,42.1,14.6,0.3,0.1,3.1,51.6,48.3
Boston Collegiate Charter (District),04490000,31.7,2.3,18.3,45.3,0.1,0.0,2.2,49.9,50.1
Boston Day and Evening Academy Charter (District),04240000,47.3,1.0,43.0,5.7,0.5,0.0,2.6,48.9,50.8
Boston Green Academy Horace Mann Charter School (District),04110000,45.0,2.7,40.1,9.0,0.2,0.4,2.5,50.8,49.2
Boston Preparatory Charter Public (District),04160000,65.0,1.7,28.9,1.1,0.2,0.2,2.9,49.2,50.8
Boston Renaissance Charter Public (District),04810000,62.6,0.3,31.3,2.0,0.0,0.0,3.8,48.5,51.5
Bourne,00360000,1.5,1.6,5.9,86.8,0.9,0.2,3.2,48.9,51.1
Boxford,00380000,0.6,4.5,2.2,87.0,0.1,0.0,5.6,53.2,46.8
Boylston,00390000,1.3,5.4,6.0,83.2,0.3,0.0,3.7,51.7,48.3
Braintree,00400000,4.8,19.8,4.8,68.8,0.1,0.1,1.5,50.3,49.7
Brewster,00410000,1.9,0.6,6.5,85.8,0.0,0.0,5.2,52.1,47.9
Bridge Boston Charter School (District),04170000,65.2,1.2,29.2,0.9,0.0,0.3,3.2,50.4,49.6
Bridgewater-Raynham,06250000,5.2,2.0,1.1,87.0,0.1,0.1,4.4,51.5,48.5
Brimfield,00430000,1.7,1.4,2.0,93.9,1.0,0.0,0.0,48.5,51.5
Bristol County Agricultural,09100000,1.3,0.0,4.0,93.2,0.0,0.2,1.3,27.5,72.0
Bristol-Plymouth Regional Vocational Technical,08100000,3.2,0.6,6.7,85.4,0.7,0.0,3.4,58.2,41.6
Brockton,00440000,59.4,2.0,15.8,17.7,0.4,0.2,4.5,52.1,47.9
Brooke Charter School (District),04280000,53.4,1.8,38.5,4.5,0.1,0.0,1.6,48.4,51.6
Brookfield,00450000,0.3,0.0,6.0,90.2,0.0,0.0,3.5,50.6,49.4
Brookline,00460000,5.8,20.1,10.7,53.9,0.0,0.1,9.5,50.7,49.1
Burlington,00480000,6.1,17.0,6.2,66.4,0.3,0.0,4.1,50.6,49.4
Cambridge,00490000,23.8,12.8,13.7,40.5,0.3,0.2,8.7,50.5,49.5
Canton,00500000,10.5,10.8,5.1,67.8,0.0,0.2,5.6,49.8,50.1
Cape Cod Lighthouse Charter (District),04320000,2.5,2.1,4.5,85.5,0.4,0.0,5.0,45.5,54.5
Cape Cod Regional Vocational Technical,08150000,7.9,0.7,12.1,72.5,1.9,0.5,4.4,65.3,34.7
Carlisle,00510000,0.7,11.2,4.5,73.7,0.0,0.0,10.0,53.2,46.8
Carver,00520000,1.3,0.5,1.5,95.1,0.2,0.1,1.3,50.7,49.3
Central Berkshire,06350000,0.6,0.8,3.9,91.1,0.2,0.0,3.3,51.4,48.6
Chelmsford,00560000,3.1,15.1,5.7,72.8,0.2,0.1,3.0,52.1,47.9
Chelsea,00570000,5.0,1.0,86.6,6.5,0.1,0.0,0.8,51.8,48.2
Chesterfield-Goshen,06320000,1.6,0.0,1.6,95.3,1.6,0.0,0.0,49.6,50.4
Chicopee,00610000,4.2,2.1,38.2,52.3,0.1,0.0,3.1,53.5,46.4
Christa McAuliffe Charter Public (District),04180000,2.5,4.0,12.8,75.4,0.3,0.0,5.0,51.0,49.0
