Org_Code,District,District_Type,Grade_Level,Single_School_District,County,Enrolled,Econ_disadv,Students_with_disabilities,English_learners,Five_Yr_change_in_enroll,Ten_Yr_change_in_enroll,Student_mobility,Choice_in_percent_of_enrolled,ELA_meet_exceed_expectations,Math_meet_exceed_expectations,ELA_student_growth_percentile,Math_student_growth_percentile,FTE_tchrs_per_100_students,Av_tchr_salary,Teacher_retention,Funds_per_indistrict_pupil,Foundation_enroll,Above_Below_req_net_school_spending,Combined_effort_yield_as_percent_of_foundation_budget,Ch_70_aid_per_pupil
00010000,Abington,Municipal,K12,,Plymouth,"2056",21.8,15.9,5.0,5.2,-10.3,7.3,0.2,55.0,48.0,50.2,47.3,5.9,"85,917",94.4,"13,461","3957",125.62,65,"3862"
00030000,Acushnet,Municipal,Elementary,,Bristol,"1004",24.9,14.2,0.8,1.2,-2.4,6.0,0.0,52.0,51.0,48.6,58.1,7.5,"76,860",88.7,"12,711","5195",105.25,58,"5153"
00050000,Agawam,Municipal,K12,,Hampden,"3747",29.0,16.5,5.0,-8.8,-13.8,6.9,2.2,50.0,53.0,46.8,48.0,8.5,"74,116",94.6,"15,911","5026",135.02,54,"5133"
01630000,Lynn,Municipal,K12,,Essex,"15751",56.7,16.5,25.0,9.5,18.7,15.1,0.0,34.0,30.0,47.2,47.0,7.1,"76,870",88.7,"13,476","9318",99.19,24,"9751"
00080000,Amherst,Municipal,Elementary,,Hampshire,"1131",31.7,20.8,15.9,-6.5,-18.2,12.0,8.0,50.0,47.0,47.1,49.6,10.7,"76,477",87.0,"21,981","5330",159.84,74,"5505"
01600000,Lowell,Municipal,K12,,Middlesex,"14548",53.8,17.3,23.7,3.7,8.6,14.6,0.1,36.0,36.0,46.1,48.8,7.2,"76,091",91.2,"14,300","8990",104.41,26,"9326"
01490000,Lawrence,Municipal,K12,,Essex,"13658",63.3,19.2,35.9,1.1,11.8,21.9,0.0,28.0,29.0,46.6,45.1,7.6,"69,533",74.2,"14,551","11795",101.62,13,"12271"
02070000,Newton,Municipal,K12,,Middlesex,"12883",8.7,18.7,6.5,2.2,10.1,5.2,0.0,70.0,71.0,53.4,57.4,8.3,"82,045",89.0,"18,458","1773",169.83,183,"1856"
00160000,Attleboro,Municipal,K12,,Bristol,"5946",30.3,16.6,5.9,1.4,0.2,10.2,0.0,53.0,47.0,50.3,48.5,6.4,"83,792",93.8,"13,296","5735",103.83,49,"5985"
00170000,Auburn,Municipal,K12,,Worcester,"2628",18.4,9.8,3.3,11.9,11.3,6.1,3.1,58.0,51.0,43.2,47.6,7.0,"74,150",95.7,"13,268","4146",128.98,58,"4436"
